age,capital-gain,capital-loss,hours-per-week,education-num,workclass,marital-status,occupation,relationship,sex
59,4064,0,40,10,Private,Married-civ-spouse,Sales,Husband,Male
26,0,0,40,7,Private,Married-civ-spouse,Craft-repair,Husband,Male
37,0,0,75,10,Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male
64,0,0,40,9,Private,Married-civ-spouse,Exec-managerial,Husband,Male
33,0,0,45,13,Private,Never-married,Prof-specialty,Not-in-family,Female
33,0,0,40,9,Private,Married-civ-spouse,Craft-repair,Wife,Female
61,0,0,40,9,Private,Married-civ-spouse,Exec-managerial,Husband,Male
17,1055,0,24,5,Private,Never-married,Other-service,Own-child,Male
50,2407,0,98,14,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male
27,0,0,35,14,Local-gov,Never-married,Prof-specialty,Own-child,Male
30,0,0,40,9,Private,Divorced,Prof-specialty,Own-child,Female
43,0,0,40,9,Private,Married-civ-spouse,Handlers-cleaners,Husband,Male
44,7298,0,40,10,Private,Married-civ-spouse,Craft-repair,Husband,Male
35,0,0,40,10,Private,Never-married,Exec-managerial,Not-in-family,Female
25,0,0,40,10,Private,Never-married,Tech-support,Own-child,Female
24,7298,0,48,10,Private,Married-civ-spouse,Machine-op-inspct,Wife,Female
22,0,0,15,13,Private,Never-married,Prof-specialty,Not-in-family,Female
42,5178,0,40,10,Local-gov,Married-civ-spouse,Craft-repair,Husband,Male
34,0,0,45,12,Private,Divorced,Sales,Unmarried,Female
60,0,0,42,13,Private,Divorced,Prof-specialty,Not-in-family,Female
21,0,0,40,9,Private,Never-married,Handlers-cleaners,Own-child,Male
57,15024,0,40,14,Federal-gov,Married-civ-spouse,Sales,Husband,Male
41,0,0,60,15,Private,Married-civ-spouse,Prof-specialty,Husband,Male
50,0,0,45,10,Private,Divorced,Other-service,Not-in-family,Male
25,0,0,40,13,Private,Never-married,Exec-managerial,Not-in-family,Female
50,0,0,40,4,Private,Married-civ-spouse,Craft-repair,Husband,Male
36,0,0,45,13,Private,Married-civ-spouse,Prof-specialty,Husband,Male
31,0,0,40,9,Private,Divorced,Prof-specialty,Not-in-family,Female
29,0,0,56,13,Local-gov,Never-married,Protective-serv,Not-in-family,Male
21,0,0,45,10,Private,Never-married,Sales,Own-child,Male
27,0,0,40,13,Private,Never-married,Tech-support,Unmarried,Female
65,0,0,16,9,Private,Married-civ-spouse,Transport-moving,Husband,Male
37,0,0,60,13,Self-emp-inc,Divorced,Sales,Not-in-family,Female
24,0,0,40,9,Private,Never-married,Craft-repair,Own-child,Male
38,0,0,80,9,Private,Divorced,Sales,Not-in-family,Male
48,7688,0,40,13,Private,Married-civ-spouse,Adm-clerical,Husband,Male
21,0,0,25,10,Private,Never-married,Other-service,Not-in-family,Female
31,0,0,45,9,Private,Married-civ-spouse,Transport-moving,Husband,Male
55,4386,0,40,9,Private,Married-civ-spouse,Sales,Husband,Male
24,0,0,40,10,Private,Married-civ-spouse,Adm-clerical,Wife,Female
43,0,0,40,9,Private,Divorced,Adm-clerical,Not-in-family,Female
26,0,0,45,12,Private,Never-married,Tech-support,Not-in-family,Male
46,0,0,33,12,Private,Never-married,Prof-specialty,Not-in-family,Female
35,0,0,40,12,Private,Married-civ-spouse,Adm-clerical,Husband,Male
41,0,0,54,10,Self-emp-inc,Married-civ-spouse,Farming-fishing,Husband,Male
26,0,0,40,13,Private,Never-married,Sales,Not-in-family,Male
34,7298,0,35,14,Private,Married-civ-spouse,Exec-managerial,Husband,Male
36,0,0,40,13,Self-emp-not-inc,Divorced,Prof-specialty,Not-in-family,Female
22,0,0,15,10,Private,Never-married,Sales,Own-child,Male
24,0,0,40,10,Private,Never-married,Machine-op-inspct,Not-in-family,Male
77,0,0,40,10,Self-emp-not-inc,Married-civ-spouse,Sales,Husband,Male
22,0,0,40,3,Private,Married-civ-spouse,Machine-op-inspct,Other-relative,Female
29,0,0,40,10,Private,Never-married,Tech-support,Not-in-family,Female
62,0,0,24,9,Private,Widowed,Other-service,Not-in-family,Female
39,0,0,40,9,Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,Male
43,0,1485,50,10,Private,Married-civ-spouse,Craft-repair,Husband,Male
35,0,0,45,9,Private,Divorced,Transport-moving,Not-in-family,Male
29,0,0,40,7,Private,Never-married,Exec-managerial,Not-in-family,Female
76,0,0,10,14,Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male
63,0,0,45,9,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male
43,0,1887,50,10,Private,Married-civ-spouse,Prof-specialty,Wife,Female
58,0,0,40,9,Self-emp-not-inc,Married-civ-spouse,Handlers-cleaners,Husband,Male
66,2050,0,55,9,Private,Never-married,Transport-moving,Not-in-family,Male
41,0,0,45,10,Private,Never-married,Craft-repair,Not-in-family,Male
26,0,0,40,13,Private,Never-married,Adm-clerical,Not-in-family,Male
47,0,0,40,11,Private,Never-married,Other-service,Not-in-family,Male
55,0,0,40,6,Local-gov,Married-civ-spouse,Adm-clerical,Husband,Male
53,0,0,40,9,Private,Married-civ-spouse,Transport-moving,Husband,Male
17,0,0,48,3,Private,Never-married,Other-service,Other-relative,Male
30,0,0,40,9,Private,Never-married,Craft-repair,Other-relative,Male
49,0,0,60,14,Private,Never-married,Prof-specialty,Not-in-family,Male
19,0,0,30,9,Private,Never-married,Sales,Unmarried,Male
45,0,0,40,9,Private,Married-civ-spouse,Other-service,Husband,Male
26,0,0,40,12,Private,Never-married,Sales,Not-in-family,Male
38,7298,0,40,11,Private,Married-civ-spouse,Craft-repair,Husband,Male
36,7298,0,40,9,State-gov,Married-civ-spouse,Protective-serv,Husband,Male
33,0,0,20,9,Private,Never-married,Farming-fishing,Not-in-family,Male
22,0,0,40,10,State-gov,Never-married,Protective-serv,Own-child,Female
43,0,0,42,13,Self-emp-not-inc,Never-married,Sales,Not-in-family,Male
56,0,0,25,12,Private,Married-spouse-absent,Other-service,Not-in-family,Male
31,0,0,25,13,Private,Never-married,Prof-specialty,Own-child,Male
33,0,0,40,13,Private,Married-civ-spouse,Exec-managerial,Husband,Male
26,0,0,40,9,Private,Married-civ-spouse,Other-service,Husband,Male
33,0,0,40,13,Private,Married-civ-spouse,Exec-managerial,Husband,Male
46,0,0,30,7,Local-gov,Married-civ-spouse,Transport-moving,Husband,Male
38,0,0,40,9,Federal-gov,Married-civ-spouse,Adm-clerical,Husband,Male
65,0,0,40,7,Private,Widowed,Other-service,Unmarried,Male
40,0,0,40,11,Private,Married-civ-spouse,Tech-support,Husband,Male
42,0,0,35,9,Private,Married-civ-spouse,Adm-clerical,Wife,Female
26,0,0,40,5,Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male
36,0,0,24,6,Private,Married-civ-spouse,Other-service,Wife,Female
62,0,0,40,14,Private,Married-civ-spouse,Prof-specialty,Husband,Male
43,0,0,45,13,Private,Married-civ-spouse,Transport-moving,Husband,Male
43,0,1564,45,13,Private,Divorced,Exec-managerial,Not-in-family,Male
22,0,0,55,9,Private,Married-spouse-absent,Sales,Not-in-family,Male
28,0,0,40,9,Private,Married-civ-spouse,Craft-repair,Husband,Male
56,0,0,45,10,Self-emp-not-inc,Married-civ-spouse,Sales,Husband,Male
22,0,0,15,12,Private,Never-married,Sales,Not-in-family,Female
57,0,0,45,13,Private,Divorced,Exec-managerial,Not-in-family,Female
39,0,0,40,9,Private,Divorced,Sales,Unmarried,Female
26,0,0,15,10,Federal-gov,Never-married,Adm-clerical,Unmarried,Female
17,0,0,10,7,Private,Never-married,Other-service,Own-child,Male
40,0,0,38,11,State-gov,Married-civ-spouse,Machine-op-inspct,Husband,Male
45,0,0,40,9,Private,Married-civ-spouse,Machine-op-inspct,Husband,Male
44,0,0,40,9,Private,Never-married,Craft-repair,Not-in-family,Male
20,0,0,10,10,Local-gov,Never-married,Adm-clerical,Own-child,Female
33,0,0,40,9,Private,Married-civ-spouse,Craft-repair,Wife,Female
23,0,0,40,10,Private,Never-married,Sales,Not-in-family,Male
46,0,0,30,14,Self-emp-not-inc,Divorced,Exec-managerial,Not-in-family,Male
38,0,0,50,9,Private,Married-civ-spouse,Sales,Husband,Male
54,0,0,40,9,Private,Divorced,Transport-moving,Not-in-family,Male
46,0,2339,45,3,Private,Divorced,Craft-repair,Not-in-family,Female
25,0,0,40,10,Private,Married-civ-spouse,Craft-repair,Husband,Male
46,0,0,40,10,Private,Divorced,Sales,Not-in-family,Female
36,0,0,40,10,Local-gov,Married-civ-spouse,Transport-moving,Wife,Female
23,0,0,25,9,Private,Never-married,Other-service,Not-in-family,Female
29,0,0,40,9,Private,Separated,Machine-op-inspct,Not-in-family,Male
44,0,2415,6,10,Private,Married-civ-spouse,Adm-clerical,Wife,Female
19,0,0,16,10,Private,Never-married,Adm-clerical,Own-child,Female
19,0,0,40,9,Private,Never-married,Other-service,Other-relative,Female
35,0,0,40,9,Private,Married-civ-spouse,Other-service,Wife,Female
27,0,0,50,13,Private,Never-married,Craft-repair,Not-in-family,Male
46,0,0,40,12,Self-emp-not-inc,Separated,Craft-repair,Not-in-family,Male
34,0,0,35,9,Private,Never-married,Other-service,Not-in-family,Female
44,0,0,40,10,Private,Married-civ-spouse,Tech-support,Husband,Male
45,0,0,40,10,Private,Divorced,Handlers-cleaners,Unmarried,Female
25,0,0,55,13,Private,Married-civ-spouse,Exec-managerial,Husband,Male
52,0,0,50,13,Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male
20,0,0,40,10,Private,Never-married,Handlers-cleaners,Own-child,Male
28,0,0,40,10,Private,Never-married,Other-service,Not-in-family,Female
50,0,0,40,13,State-gov,Married-civ-spouse,Protective-serv,Husband,Male
34,0,0,64,11,Private,Divorced,Tech-support,Not-in-family,Female
